model,r2,mse,rmse,mae
linear,-156.75144182171385,342734.25291713,480.590613212029,41.00922733880368
ridge,-14.891073528368205,34563.06625200154,147.64455323213943,35.44795591370462
lasso,0.0378027881176191,2111.0687037336006,45.9415492270089,32.7167006870162
enet,0.04104326259106983,2103.9893672844823,45.864297385639375,32.672461268073775
xgb,0.08854952475078504,1999.7951461117623,44.71242365318661,31.868459979486524
lgbm,0.0901081511561774,1996.1161677398109,44.672897854207555,31.776625617217302
catboost,0.09993512985836081,1974.6909513139944,44.43172666303207,31.594880386027615
nn1,0.03039386004927571,2127.5883812913285,46.118100978760395,32.558019713964555
nn2,0.04130534185737276,2103.4265813661614,45.85768955042023,32.425455707576596
nn3,0.03676837002742166,2113.2712349396315,45.96493322758664,32.893023799228956
