model,r2,mse,rmse,mae
linear,-38.98796584654906,30357.08471306056,155.85332286423997,22.269798208685653
ridge,-4.8586379020535535,4436.996333625145,58.20671361201143,20.471620649852817
lasso,0.06084422474823248,714.3868999474842,26.72687590671514,19.604414860757043
enet,0.06474500872631747,711.417969665542,26.671229145438797,19.56401091956723
xgb,0.1287385407702856,662.7081175462669,25.742318454667412,18.687158366209673
lgbm,0.12954591791005438,662.1222635996338,25.730262829469005,18.60466993878028
catboost,0.13878062948372313,655.063214620841,25.592981431592342,18.558854751011285
nn1,0.05346183945658245,720.063732972644,26.830814609188973,19.36455939537208
nn2,0.06911536330243542,708.0996139585341,26.60762985276242,19.14552896562354
nn3,0.07787420906835323,701.3089467466361,26.481448651901655,19.30129319145221
