model,r2,mse,rmse,mae
linear,32.29465636573104,24292.78174703864,77.88983544234463,1.6085218191402215
ridge,6.140098083154608,4672.8634645096145,32.387880821604085,0.7660488997920727
lasso,0.00660241524182467,13.153067344195925,0.24699031263173823,0.16191428945527292
enet,0.007825455651220076,13.392084894673749,0.2520030496602848,0.15743985101641983
xgb,0.006596006290868484,10.424441842947303,0.20287465281863115,0.14918015685711764
lgbm,0.01176461201251971,14.117586862134022,0.275387592456962,0.19265888664674738
catboost,0.012530744468371154,12.798516876275002,0.2500321239572028,0.17668130811883925
nn1,0.021111955793416036,22.217980032039282,0.41366699164388443,0.24032385366919246
nn2,0.019767939206113146,19.435194307986134,0.36557841418773707,0.16614496491687375
nn3,0.015905556706862656,10.812332273901838,0.20450927444035413,0.13173377274484493
