model,r2,mse,rmse,mae
linear,26.290450131991555,780.4763257274918,14.859648247824083,0.41553297312931625
ridge,6.368604348489668,189.0378867928869,6.495373155011956,0.18290010224461634
lasso,0.0009018656767231556,1.1062710122630284,0.10168832553147424,0.08513394589197354
enet,0.0012196009580633619,1.1025434784199728,0.10138828858228092,0.0846611691476124
xgb,0.013127605342958449,1.0480362415069553,0.09840255533328005,0.06908285689385467
lgbm,0.017084451127010444,0.7277382424070532,0.06909748957664832,0.04899184852668285
catboost,0.011549848801676997,0.8802365666655471,0.08410812665323389,0.06683577158761314
nn1,0.02261553268998531,0.7120506827995938,0.06570465206631157,0.04027385733967463
nn2,0.0241710086724223,0.6058936547353787,0.05561204231103388,0.0584777650454855
nn3,0.02100367911061021,0.8299317998134615,0.07610441920471674,0.05079349816703773
