model,r2,mse,rmse,mae
linear,-131.34577681476506,227175.09341394878,342.934346154103,30.57628431149859
ridge,-6.06670407375001,12064.290701363909,94.64891944027222,28.2049220725542
lasso,0.04241259223164688,1641.8839176829556,40.51994159864754,27.12368228882831
enet,0.04390923006935259,1639.3225099975048,40.48828822681848,27.09830801664979
xgb,0.12403600701269454,1501.8954786789013,38.754140598933574,25.985105518325845
lgbm,0.12273414305755792,1504.1200714450795,38.78286080502143,25.944485451553742
catboost,0.11934321660884299,1509.9530928848244,38.85787526987551,25.99635622618544
nn1,0.04047418375196508,1645.0583149409601,40.5585771530386,26.900327831848337
nn2,0.0509526857336247,1627.1625834569645,40.33795165209882,26.82231369963108
nn3,0.06961570849043493,1595.2467063642623,39.94029400982212,26.99275693615592
