model,r2,mse,rmse,mae
linear,-147.90607354094655,1070.6930469356391,22.986120885103787,2.132561301596242
ridge,-1.0578489019806234,14.805270164719474,3.7493557535767197,1.974203636648235
lasso,-4.652926597565887e-05,7.185393096633092,2.680516421333641,2.0282613160342047
enet,-4.652926597565887e-05,7.185393096633092,2.680516421333641,2.0282613160342047
xgb,0.1998203694202034,5.749052541887898,2.397688105460816,1.7932917488266997
lgbm,0.1941545691272113,5.789664649575874,2.4061533752343087,1.7990972676396584
catboost,0.18667993198306831,5.843388836992635,2.417293883026013,1.8096972997974174
nn1,0.011886305624578796,7.102615197087209,2.655649412930624,1.9105371550801333
nn2,0.12030900452112844,6.3204498793180885,2.5140125522296195,1.8858529010208411
nn3,0.10451726164628901,6.433949967019816,2.536492860655378,1.9149666935917082
