,companyid,EPS_actual,EPSDiff,EPS_surprise,EPS_count,EPS_std,EPS_guidance_high,EPS_guidance_low,EPSNormalized_actual,EPSNormalized_diff,EPSNormalized_surprise,EPSNormalized_count,EPSNormalized_std,EPSNormalized_guidance_high,EPSNormalized_guidance_low,revenue_actual,revenueDiff,revenue_surprise,revenue_count,revenue_std,revenue_guidance_high,revenue_guidance_low,60MAVGTTMEP,60MAVGTTMROA,60MAVGTTMROE,BVEV,EBITDAMargin,EstDiffC,FCFP,IO_TO,OCFEqt,ROEStab,SEV,LogUnadjPrice,AssetTurn_2,ChgATO_2,EbitToAst_2,IndRel_50DVolSig,IndRel_AccrualRatioBS,IndRel_AccrualRatioCF,IndRel_AdjAccruals,IndRel_DebtChg1Y,IndRel_DepToCapex,IndRel_EPSEstDispFY1C,IndRel_EPSSurpC,IndRel_EPSToSalesChg1Y,IndRel_FwdEPC,IndRel_FwdFCFPC,IndRel_InvToAst,IndRel_InvToAstChg1Y,IndRel_LTDA,IndRel_MaxRetPayoff,IndRel_PM5D,IndRel_PM6M,IndRel_RONA,IndRel_SUEC,IndRel_SolvencyRatio,OCFAst_2,REToAst_2,ROA_2,RelPrStr_12M,10DMACD,24MResRtnVar,39WRtnLag4W,4To52WPrcOsc,50To200PrcRatio,52WSlope,90DCV,Alpha12M6MPChg,Alpha18M6MPChg,Alpha36M6MPChg,Alpha60M,AnnVol12M,AnnVol1M,AstAdjChg1YEPS,AstAdjChg3YEPS,AstP,BP,CashAst,CashToSales,Chg3YOPM,EBITDAP,EP,ETO,HL1M,HL52W,LogTTMSales,OPM,PAdjChg1YEPS,PAdjChg3YEPS,PAdjChg3YSales,PM9M,PRatio15To36W,PTIP,PTIToNOA,PrcTo260DL,PrcTo52WH,RSI26W,STO,SalesToEPSChg,SalesToInvCap,ShortIntRatio,ShortIntTrdVol,52WVPT20DLag,5DVolSig,6MAvgChg1MRecC,CQDOHtoSales,CQDRItoSales,CQPTTMCFtoSales,CVVolPrc20D,CVVolPrc30D,CVVolPrc60D,Chg4QSalesTrend,ConsQPosChgTTMEPS,EBITP,EbitdaToAst,GrPftToAst,IO_BreadthStabBY,IO_BreadthStabHD,IO_ChgofIO_AM,IO_ChgofIO_HF,IO_ChgofNumBY,IO_ChgofNumHD,IO_Concentration,IO_Foreign,IO_InvDuration,IO_Level,IO_Level_AM,IO_StabofChgHD,LogAssets,PA52WL20DLag,ROA60MSlope,Rev3MFY1C,Rev3MFY2C,RevMagFY1C,STO_6M,SharpeRatio,TTMOverheadtoSales,TTMRecInvToSales,AccrualRatioCF,AdjAccruals,AdjAstAdjChg1YFCF,AdjChgEPStoSales,AdjEBITDAEV,AdjFCFP,Beta60M,CFEqt,CFIC,CapExToAst,CapExToSales,CashAdjEV,CashBurn,CashEV,CashP,DebtChg1Y,DepToCapex,DivP,DivToCF,EPSStab,EPSToOCFChg,FCFSales,FL,LTDA,NCAP,OCFIC,PAdjChg1YOCF,PAdjChg1YSales,PM6M,PTMargin,RONA,RecTurn,TobinQ,YoYChgDA,IndRel_AstP,IndRel_CapExToAst,IndRel_CashEV,IndRel_CashP,IndRel_DivP,IndRel_EBITMargin,IndRel_GPMargin,IndRel_NCAP,IndRel_OEA,IndRel_OEP,IndRel_OPM,IndRel_PAdjChg1YSales,IndRel_PM9M,IndRel_PTMargin,IndRel_RecTurn,IndRel_SEV,IndRel_SP,IndRel_ShortIntRatio,IndRel_ShortIntTrdVol,IndRel_TobinQ,6MChgTgtPrc,6MChgTgtPrcGap,6MChgTgtPrcGapEMA,AdjEBITP,AdjSTO_6M,Amihud,AstGrwth,BuyToSellRecLess3MEMA,BuyToSellRecLess3MSMA,Chg1YAmihud,Chg1YGPMargin,Chg1YLTDA,Chg1YROA,Chg1YTurnover,ChgSalestoChgEPS,EBITEstDisp,IO_NAT,MVEToTL,RevEstDisp,12QTrendTTMEPS,14DayRSI,20DStochastic,3MSalesMom,3YAvgAnnSalesGrw,4WChgFwd12MEPS,5DMoneyFlowVol,6MTTMSalesMom,8WChgFwd12MEPS,AE-style,AdjEPSNumRevFY1C,AdjEPSNumRevFY2C,AdjFwdEPC,AdjFwdFCFPC,AdjRev3MFY1C,AdjRevMagC,CE-style,ConsQPosChginTTMCF,EPSEstDispFY1C,EPSEstDispFY2C,EPSNumRevFY1C,EPSSurpC,EQ-style,FwdEPC,FwdFCFPC,HG-style,LogMktCapCubed,PM-style,PM5D,PSlopeSERR_26W,SUEC,Sz-style,TTMEPStoTTMSales,Val-style,Vol-style,VolAdjRtn12M,AstAdjChg1YCF,AstAdjChg1YOCF,CFEV,CFP,CFROIC,CapAcqRatio,CashCycle,Chg1YAstTo,Chg1YOCF,Chg1YOPM,ChgSalesMargin,DA,EBITDAEV,FCFEV,FCFEqt,IndRel_CFROIC,IndRel_DA,IndRel_LTDE,IndRel_ROA,IndRel_ROE,IndRel_ROIC,InvToAsset,LTDE,LogMktCap,NetProfitMargin,OCFEV,OCFP,PM12M1M,PM1M,ROE,ROIC,ShareChg,TotalAccruals,UnexpectedRecChg,WCAccruals,IndRel_AssetTurn,IndRel_BP,IndRel_CFEV,IndRel_CFP,IndRel_CashAst,IndRel_CashCycle,IndRel_Chg1YOCF,IndRel_Chg1YOPM,IndRel_ChgSalesMargin,IndRel_EBITDAEV,IndRel_EBITDAP,IndRel_EP,IndRel_FCFEV,IndRel_FCFEqt,IndRel_FCFP,IndRel_InvToAsset,IndRel_NetProfitMargin,IndRel_OCFEV,IndRel_OCFP,IndRel_PAdjChg1YEPS,IndRel_PM12M1M,IndRel_PM1M,IndRel_PTIP,IndRel_ShareChg,IndRel_TotalAccruals,IndRel_WCAccruals,130DMinRtn,50DVolSig,AccrualRatioBS,Adj50DVolSig,AdjGFP,BookLev,CFAst,EBITMargin,EPSToSalesChg1Y,GPMargin,InvToAst,InvToAstChg1Y,MaxRetPayoff,OEA,OEP,RskAdjRS,SP,SalesAcc,SolvencyRatio,StdErr180D,quarter_factor
companyid,1.0,0.0032147555810902373,0.0012090489452818453,0.007328618100241799,-0.0651429515075369,-0.0027123486928327055,-0.0009648516947556238,0.0002806571771964876,0.003135399704050106,0.0009274349613424647,0.03383851381590037,-0.10190564936755908,-0.0026452459332552466,-0.01583506347319165,-0.016276070725467683,-0.06235732738225441,-0.0028706538027393363,0.011218356665122747,-0.058076705816742014,-0.028712680023794204,-0.048684807517053015,-0.04826490429335513,-0.021359101135422255,-0.074509605508655,-0.003090709383847918,0.003090629019948431,-0.032005134583826665,0.001109995590132323,0.008669828927659226,0.012683132085698916,-0.003953656351167139,0.007732801936126882,-0.011224158984100997,-0.08201537858458773,-0.07461928696932835,-0.032113856306448745,-0.05034305198607732,0.027217507346325144,0.02817398551698059,0.0037288200293147888,-0.008827735378028369,-0.00039238925727465935,0.013836908904748261,0.028429995950093073,-0.01325728358619946,0.0037549048032040995,-0.02145115439150419,-0.0052180105161319865,-0.015935060425301985,0.0005642483656540975,0.03342483538973605,0.09689049066054774,0.017312193442904564,-0.01984818892215346,0.006781984175664554,-0.016177141554790202,-0.06733030881822989,-0.11038479750371029,-0.0087721582112432,-0.0014903657476226307,-0.017408318672159778,-0.03602981174996123,-0.0019716673721755272,-0.0030596777186381948,0.07117813277872474,-0.05775746809451325,-0.004179340632953549,0.13375506869092255,0.0004028920435540199,0.001766642192918141,0.0005644784687500356,-0.038426408140596245,0.16216722978154258,0.11915981046474222,0.023718575589454883,0.002889576552348225,0.009120946249551617,0.007313013861271559,0.1467483137117394,0.03169992131906619,4.283823349439902e-05,-0.0003193617565830621,0.0014287319016951204,-0.0001815975572368345,-0.0009630336170519253,0.031481885124784365,-0.13655726374186275,-0.03151846733698184,0.02397058236736592,-0.0015237156046483476,-0.02096318417339342,-0.009100167162851185,-0.05924870970532496,-0.005173461600261857,0.002387379281684985,-0.0014851923593972277,-0.13986787160573,-0.016982587313503404,0.006890552812241622,-0.002178322906144059,-0.001253539658029327,0.0005345266733012998,0.01388603908976887,0.016971716063037136,-0.01689565587264898,0.027931477048820857,-0.18935991994610155,-0.19289162650497205,-0.20747722328781096,-0.030193985301553816,-0.008598662844833228,-0.0014287688126535549,-0.01126578071358151,-0.2590306309758749,-0.0028075704185745814,-0.05627580233490409,-0.03828838023514115,-0.1257056138796924,-0.1690124405787035,0.0002504907978749831,-0.005552247495113837,0.059304497649018496,0.06443961561260698,0.2486850083845464,-0.004525018911513157,-0.06028097157990274,-0.028462210112014795,-0.18365224269036684,-0.01597206320936739,-0.11893044599393263,-0.0012921458592983436,0.060665524917084886,-0.0022209563797662294,-0.0007109842241661251,-0.0009191600849917304,0.1216628761605285,0.0033231372663549636,0.02966284746921721,0.019740237199677046,-0.005122973394357828,0.0005495040566792722,-0.019585636184531907,0.019371402906717277,-0.009304172474909077,0.008633113520293653,-0.0010739464689814783,-0.0031418774454259487,-0.001843803978442065,-0.005483101380946288,0.02944679322041102,-0.00850518479471944,0.010348243991772582,0.0011353141579006848,0.00043664215579988184,-0.004356835418223939,0.0014581174273190765,0.006865525375178486,0.0001912709293350858,0.0007868618891511298,0.00024104890709801974,-0.030456821012276338,-0.0008440502386689686,0.05317034546980648,-0.008736432599398299,-0.0019409867774997287,-0.013684903847764907,-0.01067398165570581,-0.016625517225438275,-0.030635586607486987,-0.00026944391445693,0.008497667873049033,0.022108987462380734,-0.0016995685906342128,0.007263899031485363,0.023165796128279764,-0.00013647997297214283,0.004312078471676472,0.013298585170605257,-0.047788244117167686,-0.022185939224310856,-0.0075726442250888,-0.0265880104240193,-0.01684087245786219,-0.04811801440189436,-0.034726569635770754,-0.02604470100089947,-0.04611741561918357,0.025546424611589163,-0.02500729365830594,0.01340043501001693,-0.007763511447702545,0.03867933619474239,0.01817610911854899,-0.00030567271553664735,0.004653220513232437,-0.0009465388072739534,-0.0024787191553064386,0.02828303083431464,-0.0011759120282458782,0.031565967189468996,-0.025691052049760896,-0.023864485819783558,0.03859481275606788,0.015783367209253225,-0.002342046777851323,0.00595260282437435,-0.0018512341639156072,-0.0007539234951964613,0.00011859707381464415,-0.04824256505207445,0.011836781786040354,0.10656566103578125,-0.003023054885904912,-0.012932189382679276,-0.02355868438902655,0.016891934558085967,0.023484617682965177,1.7047223510712283e-05,-0.0030713607303620555,0.019191820209709054,0.00029200873403590494,0.012051526746393931,-0.0002980428443361584,-0.002019701814184872,-0.013231282680197982,-0.009593207814894728,-0.004324989403348282,0.003825548762672344,0.10070739865366103,-0.22112455051114674,-0.0004484677171452664,0.0015835778579822196,-0.007241433462115933,0.0005313273497603799,0.08389710055150401,-0.009036916572738982,0.009001029732781093,0.0296916180615822,-0.06355444921424376,0.03723097274854631,0.0029933007099462155,-0.05171894913423301,-0.012465717625478387,-0.17760758875885047,-0.031032679684911853,0.14907776485323124,-0.16138540990337213,-0.023447237952706753,-0.0006709913301781435,-0.014163845679841788,-0.003922671419032911,0.0006767138000197299,-0.0019314818676415514,-0.004876352963430816,-0.00012575946183642644,0.019446650766021804,-2.1687855277409175e-05,0.01688315596432946,0.008896042764861981,0.04821526152681244,-0.007307253256848222,-0.004357046372997087,-0.004143541547300461,-0.014314738587075491,0.03893811180541756,0.014348087022148924,-0.015043590429006855,-0.011580847137189154,-0.01930586326187671,0.01496872952879705,9.266703420122516e-05,-0.0579834515784158,-0.030789592502377006,-0.006123174793627536,0.011894007696257777,0.0009232719546750316,0.0004458939194605932,-0.0027737903870549566,-0.004425511738749727,0.003145886639052562,-0.02771819977300668,-0.015026801280678284,0.015990417011604155,-0.03855846035732916,-0.006153237504646373,-0.03501374601483079,-0.012982333295486335,0.05431595814686395,0.01700776248414037,-0.0032839745928018743,-0.0017766326564771311,0.020781004950679367,-0.022689186938183895,0.0024789474253907695,-0.013981065633381636,-0.025364659263888988,-0.0018304492587821668,-0.009887753147025276,0.0634795918676629,-0.046228356803313594,-0.030648093090525172,0.0144058787740035,-0.0187959804667287,-0.02547802487063581,0.0009941051671293487,0.005939275045850617,0.06640896802105431,-0.014840363382818479,0.026278389044437123,-0.10877016567062124,0.026846613266510454,0.0067719855755978345,0.04054846619685203,-0.00632428819332349,-0.000803051013486339,-0.015541790178277079,-0.03154767040151023,0.01878972427564547,-0.021401737859940855,-0.05801221203878905,0.006112464664848939,0.06975894881177346,-0.01118876567217983,0.001394911313830519,-0.004401322597324634,0.010217572940913274,0.00014476048443502073,0.0008658424546771666,-0.05919789762062436,0.0014224310543272708
EPS_actual,0.0032147555810902373,1.0,0.6594841119193691,-5.090139863701214e-05,0.006677601292856929,-0.737437561341856,0.9994236601759118,-0.9995383744322575,0.9999999212729355,0.5956569106282662,0.0006543769306944922,0.009586391451688934,-0.7530662097043063,-0.42029966853725637,-0.40775261938133317,0.0031420478403458418,0.0004092831049985042,0.0013524991506228014,0.007640802127993649,0.0016038541364197215,0.02514276170637402,0.025348728351630413,-7.482602935165258e-05,0.005638573516342466,0.0014671397415875762,0.0003029085947965948,0.0008806407843365225,-0.003762998975668587,6.149899522186373e-05,-0.0006241214258869226,0.0007639907739028007,0.001288437308613819,0.0012052622597170633,0.022262701443143202,0.010719529138862507,-0.0007115034553089545,0.020286062305823034,-0.011880259768382978,-0.0014175967909391843,-0.0015800833325602158,-0.0018825064363660023,4.544110928632657e-05,0.0008411556520576051,-0.0005133391610966278,-0.0019499325763186375,-0.019680864080199974,0.013152801367690255,0.026870233452934583,0.009420057538240916,-0.0016501077951311227,0.00608714020668461,0.0007001509976256425,0.006339142596722108,-0.001418916143290997,0.007422391595597537,0.00694505144366284,0.023247988701256193,0.05423482576063695,0.002193580281250916,0.0011839235434474341,0.0044593582718883956,-0.005599385754818601,9.536404697855481e-05,-0.0012453482092362285,-0.003370121759666304,0.0014544514791815662,0.00019398728451084255,-0.017748260899048535,-8.669594297167297e-06,1.972703599792645e-05,4.2689188752627065e-05,-0.00042868755936559824,-0.01912370435858309,-0.02043604227654255,5.0446861146883116e-05,0.0013336950574859407,4.79467768750533e-05,-1.9545777880245315e-05,-0.03628524043342914,-0.00021129737975452456,-2.877055066613084e-05,2.55020758899211e-05,-3.9391416502764206e-05,0.0001407728147726412,-0.0006573290349502253,-0.0008727890198504781,0.03179011574617261,0.0008760995545079606,4.560417726827459e-05,8.315375682140564e-05,-0.00027561387884734285,-0.0018029464570026668,0.0021118599788973067,-4.31022138215473e-05,-0.0009448436759478075,-0.00016027346829508232,0.01810231336332537,-0.0015829329761882997,5.507081598046444e-05,-1.3950556370087949e-06,8.654749843618628e-05,-0.014619469215444903,-0.001976250325759919,4.1812587411008316e-05,-0.009177039735507568,-0.0033734736446937815,0.0068702165940120455,0.00857228673825991,0.010385762298989945,0.003369866024593428,0.002530550580583124,0.0009404771378330103,0.0004117691583197924,0.005323944485920873,2.1316630549537793e-06,0.022338903649567,0.006295602982846428,0.012127158554873164,0.011482775841074658,-0.00026189268245681925,0.0004772395326290227,0.0003072954428611626,0.0003949438927569944,-0.014944694524533517,0.008032142834306037,0.029589898831091054,0.02899754540620242,0.018240242191108653,-0.0013172065299023648,0.028413001263845945,-0.0002508330990666976,0.0006086496864703595,-0.00048455307536843234,-5.61550373866516e-05,4.165314880175273e-05,0.007456017562476565,-0.00027517430956162497,-0.00045207623943726823,-0.0003975602785721394,-0.00024358416222238543,-0.00042148816322557886,0.006071366606674273,-0.0010772390957869932,0.0003745766884967344,6.001606875409687e-05,-4.8233881380557125e-05,0.0005747612955501109,0.002517680386314517,-0.0006079643198225217,-7.306893615387992e-05,0.0005017487999725422,-1.6656470447973195e-06,0.00022667999978189375,5.486355120619154e-05,3.486473691684687e-05,0.0001896147373460875,5.946652032503653e-05,0.00014572453965581116,-3.816847143146018e-05,-1.2025599880818353e-05,0.0008914583430508743,0.00010931644680256079,0.011236030204544986,-9.070583062151657e-05,0.0008625717015148589,-0.00017920916785189208,-0.0001555780039525599,-0.0013921475849189393,0.000519311689695242,0.00014973101762233974,0.0006716206508297818,-0.000326903463596673,3.321680690814805e-05,-0.00556441590480934,-0.0041141916954005155,0.003446883352750626,-0.002037782549384798,0.0029749564977061293,0.016398991993769853,0.10331377642598244,-0.0012981572698356487,0.0026793259414129526,-1.6795238979433574e-05,0.016306475955292388,-0.0006681316194199762,0.0038593018883838035,0.011589629275981277,0.0015971704690767258,0.0011406050605715268,0.00027805797134503697,-0.01893931820262882,0.0005245183664551255,0.0007080992693308938,-0.0020831742924053293,0.0004127533418983114,3.298130066148158e-05,1.9393804061028668e-05,-0.010236350179785669,4.4782326557899644e-05,7.519209020431227e-06,0.0009570039545855976,0.0009045372963189552,0.001278789871337493,-0.0021091721521932097,0.0006718588115245803,0.00013300745291761006,-0.0038243007849227003,3.415057265266812e-05,9.446140444411821e-05,0.007344215714681636,-0.00025488280532300924,-0.044531001407527485,-3.248747327354515e-05,0.005888441168700019,0.004894194326618983,1.0307487276440827e-05,0.000184283544143077,-0.0002994051822033156,0.0017354151643211328,2.0492032725376757e-05,-0.00023199322849081267,-0.0027169147995901688,-0.0033521667806859197,-0.002906671335256601,0.004613843952777465,2.1376819678692095e-05,-0.0015810753649265865,-0.0011362220953115168,-0.016483334450824318,0.013077810832077215,7.80860616216998e-05,-2.3549901710416625e-05,0.0005574003683863458,-3.0283759092847687e-05,-0.0151986281042837,0.002555080408954916,4.962689163308062e-05,-0.018549523236434252,0.020308831452005904,-0.0015602466535437657,0.009918791941984095,0.005765780395237652,0.003037600080845549,0.019533361643751232,0.00047081035393403865,-0.01928258107614214,0.018830336917742264,0.0016769788579817251,0.0013171802483687538,0.006933896235628182,-0.0031361106441167874,-2.655208863065966e-06,0.0008589763946691613,0.00015092695128069965,6.860855003737299e-06,1.405621978999764e-05,6.518551153866494e-05,0.00013574468678443488,-0.00022660125362933606,0.012052900628038427,-0.004299178239302842,-0.005222061856771024,0.0007435097481457316,0.013179320131348508,0.0008192675282323916,0.0025256389358218525,0.004645862291515725,0.005445762698182688,0.008853568455795482,6.048487914929621e-05,0.00018923974888573197,0.019785458703139944,0.0005177705160056337,-0.004800268793529062,8.365270365081127e-05,-0.002549873870187621,-0.002610196394822507,0.0005133309142578477,0.0022277038897274104,0.00017356128010644954,0.0003130339076940122,6.0705890200502216e-05,0.0026666077592905836,0.014314649204224261,-0.009932772156079437,-0.009443647888130602,0.0005459595868376824,-0.04027686604583207,-0.00033119343126948933,-0.0007901878111670765,0.0018178839850793542,-0.012065321379145979,-0.004414993029789442,9.183569361569292e-05,-0.00025001013038188227,-0.012719585975022976,0.006447695799670283,0.005444559262780904,-0.0018126848555013928,0.013318904297804838,-0.012276926977904747,8.072647657005612e-05,0.0011970531668986904,2.4433259314461154e-05,-0.004137050481668394,0.00013993928537540587,-0.000940596921468375,0.009783027908676785,-0.003992127274384249,0.022879375725810266,-0.012278047889688915,-8.342714116023819e-05,-0.012867872981178216,-4.597093502237844e-06,0.0002531025006583502,0.013488578554631701,0.000879672676300504,-0.0016286651865260147,0.0007043866428613787,0.007307696325741734,-0.0018769821226408525,-0.008782862426702839,0.013038648248902033,-1.1482099940940822e-05,-0.00046969826164538765,6.36499172373144e-05,3.274105052456556e-05,0.00015630687540108486,0.003528184689911245,0.0017898948667893152
EPSDiff,0.0012090489452818453,0.6594841119193691,1.0,0.0017455585146457363,0.0032863356331226472,-0.18416113168261602,-0.9993735114623181,0.9999726815148997,0.6619782123783151,0.970335079424121,0.003621098277603611,0.0035106141613869195,-0.2539474783880629,-0.7719712677509432,-0.7613573996548544,0.0012596313672979527,0.00016061052802660486,0.00026077913223239343,0.00325936622588802,0.0006600818625443212,-0.0008631488232701219,-0.0007859782627488853,-2.7987140016099756e-05,0.001941516999755695,0.00044755267467825493,0.00012298439838871934,-0.00021776797476739067,0.000295161105151891,2.149085882816349e-05,-0.00045547932144787527,0.0003033479148669726,0.003009240628364151,0.00042386798689674355,0.00458319671548674,0.0042503180022054,-0.0002432722390458325,0.00629006539323112,-0.01387915404720417,-0.0031323459374918163,-0.0029311059481522523,-0.0007795645924344155,0.00029761273623644095,-8.770590389600037e-05,-0.00046143999466059966,-0.0006783018203270187,0.019077060062140497,2.5717685092331214e-05,0.005460943803426745,0.0036870742865013195,0.0003093611296740203,0.0012860336004113298,0.0038958901125923655,0.0005169353630011814,-0.012063435878875104,0.005548546239603674,0.007138795557468456,0.013657029483068631,0.014950493469717928,0.0006527145961311795,0.0003278814785770923,-0.004080008924193992,-0.007553445725615261,3.2723745634111005e-05,-0.009367393611038976,0.00527809420750363,-0.012124981625752628,7.958595527366606e-06,-0.010058971478046387,-3.7464440165606895e-06,-1.6699406098510915e-05,-3.886904765425948e-05,-0.0003264793290835679,-0.005666620608253206,-0.013714574596615776,2.370853799366039e-05,0.00048700910919315506,4.929169878774543e-05,5.0047856926581225e-05,-0.014947724044031054,7.515204361972802e-05,-3.269610000416982e-06,6.831392279349131e-06,-2.318709325898398e-05,5.321781219060215e-05,-0.0004710004787607716,0.0008199648465429161,-0.003804813648328136,-0.0002289983045858104,1.8506285704211444e-05,2.5535917280920168e-05,-0.00010707515336777454,-0.01410620228491013,-0.010333377496174,-2.05639275637834e-05,-0.0001704177562558076,-0.0004278077640733157,0.0010850409465685876,-0.014298275165234034,1.661105622392157e-05,1.233166172711441e-07,3.3464777935830436e-05,-0.004040592958678914,0.0024422892741733466,-5.4741566841596566e-05,-0.018231311055503668,0.0011808372551795007,0.00355872319020707,0.0017031037994064897,5.0890175147364804e-06,0.002206875240023532,0.00155121384538264,0.0016259417235076248,-0.0006841745129735386,0.0013359430141071027,-2.041165018771637e-06,0.006539126381417128,0.004259908007807125,0.005729178694517292,0.0050754328044363,-0.0010526623354028208,5.3325866069043835e-05,-1.884005853392357e-05,9.349995708081233e-05,-0.006876551937389761,0.0032386301528703016,0.012311002228793177,0.009629360806334558,0.006369715068795966,-0.0005473394700764784,0.012145673977592633,-0.0005395143196715387,0.00025327211680374834,-0.0002864903064735821,-9.008821173042385e-05,1.9821103532422756e-05,0.00937659517392339,-0.0003760169287783056,0.0002195213655588133,2.5060146175723586e-06,-0.00031455459534909276,-0.00014538758371939465,0.002427083324820562,0.0010484702216234576,0.00015185728800203932,2.333968061328235e-05,5.669643883494319e-06,0.0003300509546941739,0.0015129627580496962,0.00011805924403233084,1.684317818603332e-05,0.00021079664561988312,-5.154901567749479e-06,-0.00010373116879948768,3.0837165179980455e-05,9.835247782651776e-06,8.040413530895679e-05,2.3203385695135628e-05,5.723424946515207e-05,-1.5834237554098274e-05,-4.094052720280111e-05,-0.0002139142719971205,4.332863312696544e-05,0.004288764978709476,-3.403487873967226e-05,0.00038679839674313167,-6.813185883383294e-05,-6.024258901324531e-05,-0.014071053634699925,-0.00012947554267817504,-8.644284922197749e-05,0.0003045800317732533,-0.00024776906125247456,1.0718732491211161e-05,0.0023109429363341516,-0.0013844758297796938,-0.0024382879560987322,0.00018123354957232368,0.0013024483292658035,-0.005702739666655252,-0.01667860567231309,-0.00011212349202444527,0.0010662047241646899,-0.00022167049435995473,-0.0056096178781061615,-0.00024841525874191053,0.0005327938097701419,-0.004863971055981321,0.00045831394174253174,0.00029994544719735334,0.00019309682235532757,-0.008830875084265569,0.002568356375249761,0.0002007514390545611,-0.0046358819159554735,1.5908320691773827e-05,1.2416504445497912e-05,4.160205376811225e-06,-0.006434538651289865,1.7506404568603934e-05,-5.482256652533103e-05,-0.0014909197521464097,-0.001349551173718041,0.004466291753592661,0.0021832924072679454,0.0002391582368459062,-4.1720553282990306e-05,-0.005820659090148378,1.4094099548535338e-05,3.179790420310293e-05,0.010759725726001293,-2.690839089213237e-05,-0.012680133116356733,-2.064273944998199e-05,-0.0007145541055036911,-0.001114357283342424,1.7574108990406647e-05,8.501277338613861e-05,-0.0007474275379234429,-0.0013381770927173458,1.7412660134755797e-05,-0.0005367922989926677,-0.003661830450464119,7.017267118024153e-05,-0.005612794299394041,0.00072048058745991,-1.4838373503552615e-05,-0.0009389939501211832,-0.00045202478973392033,-0.0068968382738750595,0.004887579447706252,2.1976612756147764e-05,0.00010882105300324876,-0.0003959798594856034,2.5458631207440316e-05,-0.004635228240630198,0.0002554523336849188,1.8027623440277812e-05,-0.00975210671504428,0.00590688345671976,0.0023749412960704036,0.0067804860111177695,-0.004389127286783478,0.0022287854402043197,0.0036012787977239475,-9.723586420299164e-05,-0.006381595051294988,0.0067782076971744844,-0.006560786230604586,0.0011370238257403344,0.002564400109226483,0.0042646825776355216,-5.699407077765003e-06,0.00036557048961765145,6.358671286781038e-05,-7.359775695443369e-07,2.959478550739512e-05,2.5776626336514827e-05,-0.00016188663209067166,0.0002214095565700964,0.004601105245599048,0.006416369895284489,0.006320063618418211,0.00034448711858805017,0.006214647409435685,0.00023350872115216096,0.001034705667004384,0.0017090961990747003,0.003765410722377133,0.0038528976106181915,2.9838424843828084e-05,7.250464588411153e-05,0.005467802272760403,-0.0001294081913283695,0.006229044875064155,3.024335498250957e-05,-0.01247850148599883,-0.007929446167356358,0.00030027986580352255,0.0009810499294247426,6.810056878669059e-05,-0.00012505015597847412,0.00011436893740012455,0.0040358900458865215,0.005206694349687869,0.002726908912844486,0.00810127519205744,-0.0001425099118217153,-0.017160743249500635,-3.5544531563360905e-05,-0.000489325736028846,-0.001470456458610945,0.011832530658707274,0.006345734563767896,-0.0005550241434942645,-0.000134868040280721,0.015375373828540677,0.00400120744220062,0.0010841908575979086,0.00015729586708492006,-0.005759010568680353,0.014835537207661249,-0.0008064307413457848,0.0016901576770278106,-0.006122550324278223,-0.007515499659121461,-4.497477968139981e-05,-0.0005128304519523148,-0.007335762189379037,-9.586502527274262e-05,0.003716749150200288,-0.015009737299742629,-0.0003634627868996596,-0.01646296235788892,-3.2586316639768435e-06,9.276604653058704e-05,0.00639822747405751,-0.00023006983174539018,0.001579240329785254,0.0005487029016356194,0.002961622246779924,-0.00018922499003890564,-0.002018897622405446,0.006302009563732584,-2.2352762675397482e-05,-0.0007967783652221921,2.533943988256149e-05,1.375909950319247e-05,4.4999392057048475e-05,-0.0031602726653618086,0.004386316003697755
