model,r2,mse,rmse,mae
linear,173.24005774114335,7581.595235103719,50.138718943858585,0.821744966939247
ridge,4.490626567943905,198.35219828205715,6.6158825499653915,0.289799437150666
lasso,0.0003194748136875483,1.4309404979350178,0.10839000482229813,0.10463430045939509
enet,0.00037757926182663406,1.428905925258489,0.10833389879480286,0.10435675957284439
xgb,0.006072830630846357,1.2028659474463959,0.09647031655948189,0.09541921329436136
lgbm,0.00410673375144328,1.240022750097491,0.09920279603609253,0.09846498472452665
catboost,0.005481796299728122,1.4162992607700753,0.1127798655980201,0.10788931200103236
nn1,0.004704432765308445,1.38040608331736,0.10587074792885164,0.09832079975837937
nn2,0.009779088213171389,1.4225438419775107,0.10902978876651064,0.09971507592464152
nn3,0.00409904928302306,1.2713488743100505,0.09742569245642374,0.09105172418992116
