model,r2,mse,rmse,mae
linear,-118.03961382861266,3139.2307110124484,33.30866767291213,3.7939086364400767
ridge,-3.152383304731355,108.55943602094162,9.723343375028701,3.5906664746603725
lasso,-1.2384483164584736e-05,26.22210551938275,5.120632033981638,3.5544139718410066
enet,0.0027379497254591545,26.150021294901354,5.113587205053504,3.548629039247986
xgb,0.0937893464161746,23.763226931095524,4.874589499001099,3.4349488560811325
lgbm,0.09324201300088615,23.77791201120265,4.876076751006979,3.4258853951315693
catboost,0.09114920637759254,23.832287147081566,4.8816790533326415,3.421201573821483
nn1,0.0555599724608576,24.76471031116199,4.976272199429252,3.4929890069847667
nn2,0.05720300228564383,24.7226061297282,4.971981160178791,3.4934946689118527
nn3,0.05560677009427373,24.76374625711035,4.976188613665726,3.5139444179899364
