model,r2,mse,rmse,mae
linear,-17.587183189775427,185.2777697903684,9.507807162996786,2.564773714045651
ridge,-0.3766368890989185,12.602406037564405,3.534659490230113,2.356815121828673
lasso,-0.0006176911390902706,9.178244867196906,3.0284343862904786,2.3432301822831283
enet,0.007342152174492189,9.105724269676193,3.0164045278446983,2.3334523822842135
xgb,0.1199462238276375,8.066786203884606,2.8393570976109124,2.190389387916812
lgbm,0.12577339620277092,8.01493990389498,2.830025296841201,2.1881123949110632
catboost,0.1353407533453621,7.926524915184167,2.8143490173631824,2.1682818126525367
nn1,0.047169308615548376,8.737763703759661,2.9548192167504554,2.2592818987594563
nn2,0.05114370881907546,8.696085771650656,2.948219434323333,2.2512114279731943
nn3,0.0029785701491551243,9.138522118301697,3.0217315526166657,2.293222977604372
