model,r2,mse,rmse,mae
linear,33.455217866995554,289.871053304871,9.119708244006262,0.08573189454352721
ridge,1.9709852170593638,17.202058285701085,1.6624545643996271,0.023210257009827682
lasso,1.3646287179037542e-05,0.09568440105622145,0.01610415397758838,0.013147925540190196
enet,0.0004663898886465439,0.09777646149052154,0.016458187475278364,0.013352343392509614
xgb,0.006426967916574145,0.10241652021160633,0.018902378991528294,0.013534557074635025
lgbm,0.006950681337506391,0.10095760838181557,0.01864238187703173,0.01272868364632217
catboost,0.005377927844313228,0.08603017015977271,0.015875706144479158,0.011574779549106302
nn1,0.15897202411044423,1.50122139148289,0.24340244709481365,0.02162178881774809
nn2,0.003544518071236971,0.08963395918118248,0.01612272902799947,0.015500775582785654
nn3,0.008408245341536917,0.10584884788305497,0.018967597845470523,0.014712259623796612
