model,r2,mse,rmse,mae
linear,107.44137278614022,934.5383023105,17.82056594344463,0.33770645615545253
ridge,2.8168847600118476,24.53920821204423,2.126702603003433,0.07496811566065414
lasso,0.00014154356916612506,0.069892928117583,0.011922236772263237,0.003494101674186787
enet,0.00014154356916612506,0.069892928117583,0.011922236772263237,0.003494101674186787
xgb,0.01098571180280228,0.09012991153282675,0.01670084768636727,0.010931567435375478
lgbm,0.013924252028448963,0.12214591865153566,0.0226034291707735,0.01554915331798652
catboost,0.012277317944254254,0.09332076161077416,0.017368374601927052,0.014019147527850679
nn1,0.0926582419013698,0.8238482628740834,0.13668836566153905,0.03816531806133944
nn2,0.013749844899041274,0.14463033608329876,0.025406377388320484,0.018520500345768593
nn3,0.012958291860598188,0.12109295932136135,0.02129432000224073,0.015032529634289252
