model,r2,mse,rmse,mae
linear,1637.7386577308162,11516.132442725542,65.1360524108075,1.9666894055150792
ridge,0.8757525384996331,6.9250845824013725,0.8701187015177358,0.10100962725337262
lasso,0.0031539690559070762,0.369783770621348,0.06702188700088879,0.04897962332320459
enet,0.003347259805162938,0.3689498121316594,0.06687166429201925,0.0489322416993278
xgb,0.020956987213971535,0.3698352598998998,0.07454715270473102,0.05312324953024533
lgbm,0.021407077226907798,0.4062240038002301,0.08136844579997514,0.05924544385117023
catboost,0.019288501859318033,0.34236128928711657,0.0696789683255021,0.048872484405587786
nn1,0.01976397777573008,0.4077188383071475,0.07770785253028656,0.06031155962417408
nn2,0.02262590620327692,0.4992892488223705,0.09350195341769782,0.07005279874812358
nn3,0.025564987960113812,0.4290917564321659,0.07889706370990564,0.05549752482517929
