model,r2,mse,rmse,mae
linear,-227.98884005837712,140668.95713049071,198.55353222937387,17.760012411675124
ridge,-1.3203348575965805,1393.32767056035,35.890073285604515,16.37715572959867
lasso,0.07700425609441792,551.3564628080874,23.479658267504817,16.267123985098475
enet,0.0799066139751061,549.6241980849775,23.442722560638803,16.243986534774912
xgb,0.1801100957835025,489.82572676605196,22.129828498536344,15.113894922468276
lgbm,0.17719187338982742,491.5785451643125,22.169316780399555,15.11530953087007
catboost,0.17727427742052232,491.5116977638883,22.16810751072098,15.169744765665886
nn1,0.059381960586005714,561.8213555321514,23.683118044355176,15.746957346190465
nn2,0.09297038308946415,541.8404674218393,23.26927006759872,15.742654960006316
nn3,0.12372940035494388,523.4805657726317,22.877703474931657,15.87861724447733
