model,r2,mse,rmse,mae
linear,431.4310635051068,4476.657281780616,39.617760499131926,0.8471433355575482
ridge,7.683750843926693,79.80621266987706,4.285856899999917,0.12898348982368193
lasso,0.0003471908134724845,0.18569941075484195,0.02902024395733113,0.023104031950314987
enet,0.00039711797979183566,0.18634618272327028,0.029120117049536848,0.023175892885814047
xgb,0.007186409290510153,0.19653797085259705,0.032684438984345955,0.02195813429629658
lgbm,0.008131481281351922,0.1759269905190288,0.029209062550747285,0.021960948241752067
catboost,0.006397780628689727,0.182764604763419,0.030567361367292673,0.02360430155368857
nn1,0.013546925687890355,0.23902704579814743,0.03834343068449424,0.030783688523616803
nn2,0.01843291008031149,0.3089672040564032,0.049949261512562515,0.034742349183454105
nn3,0.016419244587031673,0.2836351122095965,0.04593811594908929,0.03422594122084318
